,station,delay
0,Broadway Jct_0,326405791.399
1,Jackson Hts - Roosevelt Av_0,315917299.582
2,Kew Gardens - Union Tpke_0,278833714.346
3,Junction Blvd_0,269649748.36
4,149 St - Grand Concourse_0,264481925.8
5,125 St_2,256294926.729
6,Queensboro Plaza_0,251635172.674
7,Forest Hills - 71 Av_0,239005252.28
8,36 St_0,233420219.224
9,Grand Central - 42 St_0,223630136.984
10,3 Av - 149 St_0,221492451.073
11,Euclid Av_0,219364349.561
12,59 St_0,207149456.813
13,Franklin Av_1,205134091.42
14,39 Av_0,204933506.546
15,Atlantic Av - Barclays Ctr_0,202337824.543
16,161 St - Yankee Stadium_0,197887515.002
17,3 Av - 138 St_0,194087921.022
18,Grant Av_0,192666263.702
19,36 Av_0,191517800.086
20,Prospect Park_0,188870530.963
21,Parsons Blvd_0,181375845.641
22,80 St_0,180168726.064
23,Church Av_1,170979328.969
24,Broadway_1,167599119.07
25,86 St_1,164172253.089
26,88 St_0,160529869.789
27,Hunts Point Av_0,158457927.13
28,E 180 St_0,157332129.063
29,167 St_0,153775176.158
30,Lexington Av/63 St_0,153163970.766
31,Mets - Willets Point_0,153020025.649
32,Rockaway Blvd_0,146905299.215
33,Times Sq - 42 St_0,145182887.829
34,14 St - Union Sq_0,143561929.3
35,President St_0,143484676.568
36,34 St - Herald Sq_0,140234090.533
37,30 Av_0,137043733.026
38,Sterling St_0,133027782.432
39,59 St_1,131305967.907
40,Newkirk Plaza_0,123750250.403
41,Myrtle - Wyckoff Avs_0,121898693.744
42,59 St - Columbus Circle_0,121358401.444
43,Winthrop St_0,120862367.674
44,Livonia Av_0,110132731.174
45,168 St - Washington Hts_0,108488210.707
46,72 St_2,108403102.07
47,72 St_0,104276034.549
48,Flushing - Main St_0,102467186.766
49,Parkchester_0,101688701.246
50,Church Av_0,100825848.874
51,170 St_0,100474160.741
52,51 St_0,100265401.95
53,181 St_0,99186743.1656
54,Jay St - MetroTech_0,97062626.0919
55,New Lots Av_1,96077432.5172
56,Wall St_1,93856732.8181
57,168 St_0,93620869.6508
58,Tremont Av_0,93553895.8103
59,Lexington Av/53 St_0,93549428.7441
60,Lorimer St_1,92771860.7295
61,Sutphin Blvd - Archer Av - JFK Airport_0,92660090.1741
62,Bay Ridge Av_0,90647202.2747
63,Fulton St_1,89515357.0672
64,191 St_0,89451033.4968
65,Seneca Av_0,87442239.9792
66,82 St - Jackson Hts_0,86558845.0637
67,Union Sq - 14 St_0,85133036.4791
68,Aqueduct - N Conduit Av_0,85071220.034
69,Kings Hwy_0,84282687.3848
70,Beverly Rd_0,84114137.7523
71,74 St - Broadway_0,83935984.1966
72,90 St - Elmhurst Av_0,83616280.7526
73,145 St_0,83423715.5713
74,Mt Eden Av_0,83212860.3008
75,4 Av_0,83167893.633
76,Astoria Blvd_0,82946961.5919
77,169 St_0,81985477.9492
78,Hoyt - Schermerhorn Sts_0,81539629.5011
79,34 St - Penn Station_0,81124382.4464
80,Bronx Park East_0,80830420.6489
81,Jamaica - 179 St_0,80711043.0593
82,3 Av_0,80629606.838
83,Burnside Av_0,80326356.3465
84,Dyckman St_0,78972407.3978
85,42 St - Port Authority Bus Terminal_0,78941772.0126
86,Fulton St_0,78639689.6565
87,Bedford Av_0,78484851.306
88,Graham Av_0,78207176.4903
89,34 St - Penn Station_1,76982130.6167
90,47-50 Sts - Rockefeller Ctr_0,76858204.4696
91,33 St_0,76720895.9908
92,5 Av/53 St_0,76659499.7661
93,W 4 St_0,76243580.2394
94,125 St_3,76107032.3074
95,103 St - Corona Plaza_0,74625965.5068
96,28 St_1,74516656.2596
97,96 St_0,74171566.4436
98,Brooklyn Bridge - City Hall_0,73973166.3876
99,7 Av_2,73074193.4166
100,Briarwood - Van Wyck Blvd_0,72182057.8155
101,207 St_0,71969640.874
102,Pelham Pkwy_0,71687920.556
103,Nostrand Av_1,71000339.244
104,E 105 St_0,70927026.0077
105,1 Av_0,70915133.2258
106,7 Av_1,70911118.2522
107,176 St_0,70087970.8565
108,Broadway-Lafayette St_0,69833172.7074
109,23 St_1,69705658.8261
110,57 St - 7 Av_0,68725914.6397
111,5 Av_0,68159070.566
112,Morris Park_0,67979966.1819
113,86 St_4,66665551.5092
114,77 St_1,66514247.6647
115,42 St - Bryant Pk_0,66352069.174
116,Grand St_1,66172336.5599
117,Fordham Rd_1,66166946.9476
118,Canal St_2,66156570.768
119,183 St_0,65686047.8133
120,175 St_0,65685358.1106
121,Forest Av_0,65424467.9643
122,Howard Beach - JFK Airport_0,65094073.432
123,Aqueduct Racetrack_0,65019118.7473
124,Grand Central - 42 St_1,64389332.9971
125,Castle Hill Av_0,64322769.5961
126,111 St_0,63953615.9848
127,Allerton Av_0,63176939.3169
128,Montrose Av_0,62702519.3069
129,Utica Av_0,62383820.4525
130,Morgan Av_0,60821188.7342
131,Spring St_1,60265761.2746
132,Court Sq_0,60166735.7594
133,Canal St_0,59872507.0878
134,7 Av_0,59863895.0316
135,Sutphin Blvd_0,59660095.0884
136,15 St - Prospect Park_0,59581102.5116
137,215 St_0,59493158.631
138,Newkirk Av_0,58781480.1501
139,DeKalb Av_1,57057072.8946
140,DeKalb Av_0,56599245.5353
141,Alabama Av_0,56494046.2682
142,Jefferson St_0,55145209.1297
143,Bowling Green_0,54876524.053
144,Burke Av_0,54396088.1947
145,181 St_1,53332165.1668
146,Crown Hts - Utica Av_0,53269044.1815
147,Fordham Rd_0,52926545.5928
148,28 St_2,52686668.6251
149,Brook Av_0,52435502.302
150,Broad Channel_0,52426858.4638
151,68 St - Hunter College_0,52316992.2301
152,Borough Hall_0,52166897.9996
153,Lexington Av/59 St_0,50695944.0892
154,Astor Pl_0,50643857.0724
155,Pelham Pkwy_1,50148824.8804
156,Zerega Av_0,49896934.9854
157,Marble Hill - 225 St_0,49664748.7902
158,14 St_0,49650207.5421
159,104 St_0,49284362.0102
160,Wall St_0,49145746.8566
161,Jamaica - Van Wyck_0,49009017.1332
162,Kingsbridge Rd_1,48715906.1283
163,Woodside - 61 St_0,47859069.7782
164,Gun Hill Rd_0,47391975.7254
165,14 St_1,46860151.5323
166,Crescent St_0,46612569.1915
167,231 St_0,46499175.3832
168,Jamaica Center - Parsons/Archer_0,46459174.3088
169,Cypress Av_0,46418189.4835
170,Delancey St_0,46212960.6307
171,Halsey St_1,45427011.8353
172,Fort Hamilton Pkwy_1,44509939.1512
173,Woodhaven Blvd_1,44045622.782
174,E 149 St_0,43280774.3537
175,Sutter Av - Rutland Rd_0,43160896.1745
176,E 143 St - St Mary's St_0,42777871.9113
177,77 St_0,42569614.1477
178,50 St_1,42091132.3402
179,New Utrecht Av_0,41931859.6295
180,23 St_4,41382495.0139
181,49 St_0,40957748.962
182,219 St_0,40889091.3955
183,6 Av_0,40566034.59
184,96 St_1,40516257.2727
185,Metropolitan Av_0,40495295.781
186,2 Av_0,40249135.0755
187,Gun Hill Rd_1,40234535.8762
188,Broad St_0,39954405.8411
189,Longwood Av_0,39925720.2083
190,Sheepshead Bay_0,39656871.6132
191,High St_0,39153933.7503
192,67 Av_0,39108244.258
193,Essex St_0,38814251.2265
194,Whitehall St_0,38805648.0008
195,Woodhaven Blvd_0,38770272.9331
196,Church Av_2,38483458.7756
197,63 Dr - Rego Park_0,38477002.8585
198,66 St - Lincoln Center_0,38388470.3035
199,Kingsbridge Rd_0,38147450.6376
200,Roosevelt Island_0,38083510.5982
201,62 St_0,38007227.6915
202,Grand Av - Newtown_0,37851142.9645
203,Beach 67 St_0,37800983.8584
204,Saratoga Av_0,37756509.0567
205,Fresh Pond Rd_0,37463176.5834
206,Bedford - Nostrand Avs_0,37439472.3882
207,71 St_0,37261052.3136
208,57 St_0,37260115.6167
209,Greenpoint Av_0,36966424.8879
210,23 St_3,36598488.0568
211,Bergen St_1,36396811.333
