,from_master,demand_from
273,Flushing - Main St_0,23237.1874236
318,Jamaica - 179 St_0,18594.8377718
279,Forest Hills - 71 Av_0,14848.016169
323,Junction Blvd_0,14077.2151895
42,169 St_0,13584.9864426
84,30 Av_0,12865.5183053
194,Bedford Av_0,11314.2446065
165,Astoria Blvd_0,11206.3729037
346,Mets - Willets Point_0,11034.4312596
377,Parkchester_0,9740.53573395
260,E 105 St_0,9688.09330299
155,90 St - Elmhurst Av_0,9244.183317
326,Kings Hwy_0,9222.60669866
320,Jamaica Center - Parsons/Archer_0,9180.23228908
145,82 St - Jackson Hts_0,9060.59356515
1,103 St - Corona Plaza_0,8856.3487688
251,Crown Hts - Utica Av_0,8594.42923624
164,Astoria - Ditmars Blvd_0,8434.59212757
366,Newkirk Av_0,8147.8327612
434,Woodhaven Blvd_0,8146.84331455
124,67 Av_0,8125.16683461
121,63 Dr - Rego Park_0,8029.53612774
148,86 St_1,7700.01080436
411,Sutter Av - Rutland Rd_0,7589.49495706
294,Grand Av - Newtown_0,7496.17640262
213,Broadway_1,7445.56504029
224,Canarsie - Rockaway Pkwy_0,7437.23671759
379,Parsons Blvd_0,7242.11353675
398,Saratoga Av_0,7160.6028145
8,111 St_0,7078.92282992
270,Euclid Av_0,7030.28062856
304,Halsey St_1,6898.87234186
28,145 St_0,6764.92773725
278,Forest Av_0,6742.61626526
128,7 Av_1,6703.20779165
317,Jackson Hts - Roosevelt Av_0,6694.88851916
176,Avenue U_2,6654.12458682
437,Woodside - 61 St_0,6610.02949657
372,Nostrand Av_1,6600.65835699
118,59 St_1,6542.03595066
364,New Lots Av_1,6526.03636274
325,Kew Gardens - Union Tpke_0,6516.1818576
156,96 St_0,6511.12872161
199,Beverley Rd_0,6491.54206972
200,Beverly Rd_0,6431.30691737
367,Newkirk Plaza_0,6411.32204143
245,Cortelyou Rd_0,6324.52115993
272,Flatbush Av - Brooklyn College_0,6289.60313542
137,77 St_1,6190.054825
171,Avenue M_0,6081.44778782
236,Church Av_1,6070.33699273
399,Seneca Av_0,5999.21502299
284,Franklin Av_1,5995.99183293
38,167 St_0,5820.12344966
409,Sutphin Blvd - Archer Av - JFK Airport_0,5743.22181311
359,Neck Rd_0,5657.38467605
206,Briarwood - Van Wyck Blvd_0,5574.19543033
342,Lorimer St_1,5553.05992841
91,36 Av_0,5504.31956458
400,Sheepshead Bay_0,5450.97141121
131,72 St_0,5437.72925419
378,Parkside Av_0,5432.79192962
133,74 St - Broadway_0,5390.33644352
134,75 Av_0,5380.00501488
73,231 St_0,5351.60048955
143,80 St_0,5329.55824327
417,Utica Av_0,5299.76321097
287,Fresh Pond Rd_0,5296.83162743
198,Bergen St_1,5263.09966347
256,Delancey St_0,5186.41700772
146,85 St - Forest Pkwy_0,5112.48029363
183,Bay Ridge Av_0,5111.09053654
157,96 St_1,5065.1316861
193,Bedford - Nostrand Avs_0,5061.7510802
154,9 St_0,5037.86612146
