,0,1
0,Times Sq - 42 St_0,10
1,Atlantic Av - Barclays Ctr_0,9
2,Broadway Jct_0,9
3,Canal St_0,9
4,14 St - Union Sq_0,9
5,Grand Central - 42 St_0,7
6,59 St - Columbus Circle_0,7
7,59 St_0,6
8,Franklin Av_1,6
9,Jay St - MetroTech_0,6
10,Jackson Hts - Roosevelt Av_0,6
11,34 St - Herald Sq_0,6
12,Lexington Av/63 St_0,6
13,W 4 St_0,6
14,14 St_0,6
15,Lexington Av/59 St_0,5
16,Kew Gardens - Union Tpke_0,5
17,Fulton St_1,5
18,Fulton St_0,5
19,Court Sq_0,5
20,Queensboro Plaza_0,5
21,Borough Hall_0,5
22,Broadway-Lafayette St_0,5
23,145 St_0,5
24,Hoyt - Schermerhorn Sts_0,5
25,36 St_0,5
26,Nostrand Av_1,4
27,Canal St_2,4
28,96 St_0,4
29,Utica Av_0,4
30,59 St_1,4
31,149 St - Grand Concourse_0,4
32,Parsons Blvd_0,4
33,14 St_1,4
34,Newkirk Plaza_0,4
35,125 St_2,4
36,125 St_3,4
37,DeKalb Av_0,4
38,168 St_0,4
39,Kings Hwy_0,4
40,47-50 Sts - Rockefeller Ctr_0,4
41,Forest Hills - 71 Av_0,4
42,Woodhaven Blvd_1,4
43,Chambers St_0,4
44,Chambers St_1,4
45,6 Av_0,4
46,42 St - Port Authority Bus Terminal_0,4
47,86 St_1,4
48,Prospect Park_0,4
49,Essex St_0,4
50,Woodside - 61 St_0,4
51,7 Av_0,4
52,57 St - 7 Av_0,4
53,E 180 St_0,4
54,14 St_2,4
55,Park Pl_0,4
56,Church Av_1,4
57,Brooklyn Bridge - City Hall_0,4
58,Queens Plaza_0,4
59,72 St_0,4
60,161 St - Yankee Stadium_0,4
61,75 St_0,4
62,121 St_0,3
63,Broad Channel_0,3
64,34 St - Penn Station_1,3
65,34 St - Penn Station_0,3
66,Hunts Point Av_0,3
67,Junction Blvd_0,3
68,Franklin Av_0,3
69,Grand St_0,3
70,Halsey St_0,3
71,135 St_0,3
72,Junius St_0,3
73,51 St_0,3
74,Parkchester_0,3
75,62 St_0,3
76,5 Av_0,3
77,Union Sq - 14 St_0,3
78,Van Siclen Av_2,3
79,Crown Hts - Utica Av_0,3
80,74 St - Broadway_0,3
81,Delancey St_0,3
82,New Utrecht Av_0,3
83,5 Av/53 St_0,3
84,Chambers St_2,3
85,Lexington Av/53 St_0,3
86,Nevins St_0,3
87,42 St - Bryant Pk_0,3
88,Myrtle - Wyckoff Avs_0,3
89,Court St_0,3
90,Rockaway Blvd_0,3
91,167 St_0,3
92,Euclid Av_0,3
93,Lorimer St_1,3
94,Botanic Garden_0,3
95,Coney Island - Stillwell Av_0,3
96,Fordham Rd_1,3
97,W 8 St - NY Aquarium_0,3
98,Crescent St_0,3
99,Rector St_0,3
100,111 St_2,3
101,Livonia Av_0,3
102,World Trade Center_0,3
103,9 St_0,3
104,Burnside Av_0,3
105,Tremont Av_0,3
106,168 St - Washington Hts_0,3
107,Great Kills_0,3
108,50 St_1,3
109,3 Av - 149 St_0,3
110,4 Av_0,3
111,Bleecker St_0,3
112,Sutphin Blvd - Archer Av - JFK Airport_0,3
113,104 St_1,3
114,Sheepshead Bay_0,3
115,Norwood Av_0,3
116,Bergen St_1,3
117,Metropolitan Av_0,3
118,East Broadway_0,2
119,Nostrand Av_0,2
